,name,time,perc
3278,ChefCracco,436.9560333333333,0.005540562227333025
3279,progamer9138,436.6780666666668,0.005537037635620579
3280,builderboys10,436.4694666666667,0.005534392606847762
3281,MuminPredator,436.2777333333332,0.005531961445853635
3282,hahayes_,435.69068333333325,0.005524517705963508
3283,Syfe_,435.1631,0.005517827997925521
3284,WrathofKyne,435.12969999999996,0.005517404489004083
3285,BaroqueWork,434.94925000000006,0.005515116399636613
3286,DavRiCZ,434.7592166666666,0.005512706794485794
3287,Bulbless,434.6203833333333,0.005510946400615744
3288,Antheadley21,434.3035333333333,0.005506928771820603
3289,noziel,434.05055000000004,0.005503720966472047
3290,AlopexTMNT,433.99941666666683,0.005503072600518469
3291,Bubbz_09,433.97346666666664,0.0055027435569103425
3292,BojanBojx,433.68469999999985,0.005499082022193356
3293,Outletika,433.60746666666665,0.005498102710645481
3294,Electronnik,433.5713,0.00549764412064572
3295,thatNotBot,433.21198333333325,0.005493088018431505
3296,Myeot,432.5758,0.005485021272403453
3297,Mr_Craht,432.2167666666666,0.0054804687628297885
3298,Eratus,431.7750666666667,0.005474868047542387
3299,Sinnamonsocolow,431.63798333333335,0.005473129843511034
3300,lightcon,431.43701666666664,0.005470581604701302
3301,snivv,431.0688833333333,0.005465913707966408
3302,ylF_,430.2895333333334,0.005456031621801053
3303,Lumpy_plums,429.59106666666673,0.005447175128847144
3304,Nicka12,429.53483333333344,0.005446462095363646
3305,JorbNels,429.3047,0.005443544025908945
3306,SourPatchAdam,428.8731999999999,0.00543807264568138
3307,owobarto,428.8608833333333,0.005437916471483306
3308,Blue_Crafter,428.6798333333333,0.005435620774171139
3309,ByePie,428.6794,0.005435615279544413
3310,123banan321,428.61295,0.005434772699669277
3311,nightmarZ_123,428.52434999999997,0.005433649259835761
3312,Surfboy1,428.3357833333333,0.00543125825188309
3313,veyc,428.00076666666666,0.005427010271429084
3314,JakethasnakesALT,427.8247666666667,0.0054247786076514455
3315,Gambanera,427.80378333333334,0.0054245125409188655
3316,Erruman,427.78984999999994,0.005424335867536468
3317,Tjmax1,427.6912833333334,0.005423086051288273
3318,hotypepper,427.68829999999986,0.0054230482228965855
3319,Grimer115,427.6626166666667,0.0054227225605972176
3320,Ryderz,427.5708,0.005421558333726858
3321,ViralSun,427.5498666666666,0.005421292900989668
3322,Eyecam,427.3893833333333,0.005419257987115152
3323,Thugbubba,427.33824999999996,0.005418609621161573
3324,OPShadowHunter,427.3376,0.005418601379221486
3325,EAGLEFLUFFY,427.2253666666666,0.005417178270899646
3326,saltyDAN,427.17505000000006,0.005416540260204127
3327,OG_Hudson,427.1011833333334,0.00541560363767927
3328,dumbies,427.01626666666664,0.005414526902172918
3329,Baba_Ninja,426.9789333333334,0.005414053518947359
3330,Nick_430,426.88649999999996,0.005412881472800504
3331,xXWeed_scoperXx,426.8228166666667,0.005412073974003691
3332,Finvi,426.6172166666667,0.0054094669849543585
3333,showplace,426.44253333333336,0.005407252016388693
3334,drgthvthdr,426.3463833333333,0.005406032843251078
3335,Aqqermonn,425.97951666666677,0.005401381007732768
3336,Big_Pimp_Pluto,425.9387166666667,0.005400863667493406
3337,HXNJV,425.9225333333333,0.005400658464318397
3338,RenRen404,425.36353333333335,0.005393570395842829
3339,nickthemaster980,425.06841666666656,0.005389828343711138
3340,TinyMonstet,425.0660166666666,0.0053897979119323525
3341,ZH13,425.0467666666667,0.005389553823706674
3342,JoeOnThePC,424.1432,0.005378096681657347
3343,MDJArtzHUN,424.04653333333334,0.005376870957234023
3344,jaminspace,423.8613833333333,0.005374523272299762
3345,_TecnoCreeper_,423.76096666666666,0.005373249998222085
3346,doreii,423.6363333333333,0.0053716696590431845
3347,redstoneman444,423.088,0.0053647168429177775
3348,Messorem96,422.7588833333333,0.0053605436739199526
3349,MajorTZDMS,422.27920000000006,0.005354461333466903
3350,Gimlett7,422.0189333333334,0.005351161176123001
3351,9zs,422.01874999999995,0.005351158851473231
3352,dDIRTYNAPKINn,421.82615,0.005348716701225656
3353,AriusSama,421.7719,0.005348028816226016
3354,tastefullbrick,421.64001666666667,0.005346356547715367
3355,GuppySoap,421.6307333333333,0.005346238835904368
3356,typicalGtaTG,421.49125,0.00534447020009423
3357,KushCobain,421.48671666666667,0.005344412717845412
3358,Znubben,421.39431666666667,0.005343241094362152
3359,Ikratta,421.2701166666667,0.005341666249809978
3360,Indetermite,421.21793333333324,0.005341004569953178
3361,Razvanel020,421.0607,0.005339010865779103
3362,VilleWilzu,420.7483666666667,0.005335050507900984
3363,Dnnye,420.73828333333336,0.005334922652163724
3364,Mutant2007,420.6997166666665,0.005334433630385175
3365,TheTroll2001,420.5764833333333,0.005332871043077235
3366,Nut_Rag,420.2446333333332,0.00532866321566468
3367,uhricard0,420.16955,0.0053277111659186345
3368,REDofficial,420.07621666666637,0.005326527707854732
3369,Pigsparkels911,419.8668166666667,0.005323872535155659
3370,AwkwardPotLag,419.83301666666665,0.005323443954271089
3371,DummeFaust,419.8261666666667,0.005323357096902471
3372,DirtFaceBoy,419.8019166666666,0.005323049609137654
3373,ElleYaYeet,419.7984666666667,0.0053230058634556494
3374,dustyoldbum1,419.70986666666664,0.005321882423622133
3375,Octodad,419.47925000000004,0.005318958225545318
3376,rlccard,419.12533333333334,0.005314470594833371
3377,moneyman782,419.0537666666667,0.005313563136096517
3378,iRavenZX,419.02531666666664,0.005313202392718824
3379,__Rage_,418.7666166666667,0.005309922100563853
3380,Itz_Caution,418.7206333333334,0.005309339036135586
3381,Dantilino,418.56505,0.005307366253809424
3382,Sushi_2k_,418.2568166666667,0.005303457883553397
