,name,afk_time,perc
4045,superyankeefan7,524352.0,0.0011000811636073414
4046,Tazbe,524038.0,0.0010994223971958986
4047,Tripinary,524028.0,0.0010994014173738784
4048,socrazy30,523733.0,0.0010987825126242748
4049,HirsLv,523598.0,0.0010984992850269985
4050,Wouttie10,523361.0,0.0010980020632451134
4051,CommunistQwerty,523170.0,0.0010976013486445227
4052,CCROWLAND21,522974.0,0.0010971901441329216
4053,Ravogamer,522783.0,0.0010967894295323309
4054,DolphinTeamSix,522693.0,0.0010966006111341466
4055,Jacky99,522591.0,0.0010963866169495379
4056,MonkeyYolo,522589.0,0.0010963824209851338
4057,ricky_com,522555.0,0.0010963110895902642
4058,CONFUZ10n,522273.0,0.0010957194586092873
4059,Darryl_Kerrigan,522080.0,0.0010953145480442922
4060,mjlee2003,521999.0,0.0010951446114859265
4061,OEliasCrafter,521827.0,0.0010947837585471747
4062,109123,521661.0,0.001094435493501635
4063,Krxven,521419.0,0.0010939277818087399
4064,Ova_,521306.0,0.0010936907098199086
4065,MelonenBiber,520721.0,0.0010924633902317114
4066,fuzebahx,520710.0,0.001092440312427489
4067,Otiself,520544.0,0.0010920920473819493
4068,Tylercosmos,520206.0,0.0010913829293976577
4069,LHK017,520070.0,0.0010910976038181793
4070,Cookie_Heesoo,519944.0,0.0010908332580607215
4071,eithan,519714.0,0.001090350722154251
4072,yivorico,519616.0,0.0010901451198984504
4073,Voted4Trump,519599.0,0.0010901094542010155
4074,y0cat,519576.0,0.0010900612006103686
4075,Momo_64,519035.0,0.0010889261922390615
4076,AngelAdventure,518954.0,0.0010887562556806958
4077,PixelPlayz_,518944.0,0.0010887352758586753
4078,SevenDinosaurs,518837.0,0.0010885107917630564
4079,Broryt,518829.0,0.0010884940079054402
4080,RockSocker,518529.0,0.0010878646132448262
4081,1tiddie,518507.0,0.0010878184576363812
4082,MrMiniPekka,518474.0,0.0010877492242237136
4083,ZerpPickle,518413.0,0.0010876212473093889
4084,tthechosenone,518124.0,0.0010870149304529975
4085,Kaburke,517864.0,0.0010864694550804653
4086,jtavare,517765.0,0.0010862617548424627
4087,Leonardo_71,517458.0,0.0010856176743064346
4088,gamesquire,517271.0,0.001085225351634652
4089,Ikonoclast,517192.0,0.0010850596110406905
4090,4Pac,517130.0,0.0010849295361441635
4091,ByePie,517063.0,0.0010847889713366263
4092,irishbhoy52,516952.0,0.0010845560953121993
4093,X3No_X,516896.0,0.0010844386083088847
4094,RaiNVortexX,516577.0,0.0010837693519864318
4095,Hazworld,516576.0,0.00108376725400423
4096,xDaddyDonuts,516204.0,0.0010829868046250686
4097,joebobzilla1001,515915.0,0.0010823804877686774
4098,spherux47,515759.0,0.001082053202545158
4099,Glockopiuhm,515750.0,0.0010820343207053396
4100,rmflrmflarm,515609.0,0.0010817385052148511
4101,GokuT23,515599.0,0.0010817175253928309
4102,Apollo2016,515134.0,0.0010807419636688791
4103,Patriotic_Frog,515012.0,0.0010804860098402296
4104,dilloncarpenter,514765.0,0.0010799678082363243
4105,iBaby,514747.0,0.0010799300445566873
